Month,Price
4/15/1994,1.107
5/15/1994,1.1
6/15/1994,1.103
7/15/1994,1.11
8/15/1994,1.123
9/15/1994,1.125
10/15/1994,1.122
11/15/1994,1.131
12/15/1994,1.113
1/15/1995,1.098
2/15/1995,1.088
3/15/1995,1.088
4/15/1995,1.104
5/15/1995,1.126
6/15/1995,1.12
7/15/1995,1.1
8/15/1995,1.105
9/15/1995,1.119
10/15/1995,1.115
11/15/1995,1.12
12/15/1995,1.13
1/15/1996,1.145
2/15/1996,1.145
3/15/1996,1.183
4/15/1996,1.275
5/15/1996,1.273
6/15/1996,1.201
7/15/1996,1.176
8/15/1996,1.201
9/15/1996,1.265
10/15/1996,1.323
11/15/1996,1.323
12/15/1996,1.309
1/15/1997,1.291
2/15/1997,1.28
3/15/1997,1.229
4/15/1997,1.212
5/15/1997,1.196
6/15/1997,1.173
7/15/1997,1.151
8/15/1997,1.165
9/15/1997,1.16
10/15/1997,1.183
11/15/1997,1.192
12/15/1997,1.166
1/15/1998,1.12
2/15/1998,1.084
3/15/1998,1.063
4/15/1998,1.067
5/15/1998,1.069
6/15/1998,1.041
7/15/1998,1.029
8/15/1998,1.007
9/15/1998,1.024
10/15/1998,1.039
11/15/1998,1.022
12/15/1998,0.973
1/15/1999,0.967
2/15/1999,0.959
3/15/1999,0.997
4/15/1999,1.079
5/15/1999,1.073
6/15/1999,1.074
7/15/1999,1.122
8/15/1999,1.172
9/15/1999,1.215
10/15/1999,1.228
11/15/1999,1.263
12/15/1999,1.292
1/15/2000,1.356
2/15/2000,1.461
3/15/2000,1.479
4/15/2000,1.422
5/15/2000,1.42
6/15/2000,1.421
7/15/2000,1.434
8/15/2000,1.466
9/15/2000,1.637
10/15/2000,1.637
11/15/2000,1.621
12/15/2000,1.565
1/15/2001,1.524
2/15/2001,1.492
3/15/2001,1.399
4/15/2001,1.422
5/15/2001,1.496
6/15/2001,1.482
7/15/2001,1.375
8/15/2001,1.39
9/15/2001,1.495
10/15/2001,1.348
11/15/2001,1.259
12/15/2001,1.167
1/15/2002,1.153
2/15/2002,1.152
3/15/2002,1.23
4/15/2002,1.309
5/15/2002,1.305
6/15/2002,1.286
7/15/2002,1.299
8/15/2002,1.328
9/15/2002,1.411
10/15/2002,1.462
11/15/2002,1.42
12/15/2002,1.429
1/15/2003,1.488
2/15/2003,1.654
3/15/2003,1.708
4/15/2003,1.533
5/15/2003,1.451
6/15/2003,1.424
7/15/2003,1.435
8/15/2003,1.487
9/15/2003,1.467
10/15/2003,1.481
11/15/2003,1.482
12/15/2003,1.49
1/15/2004,1.551
2/15/2004,1.582
3/15/2004,1.629
4/15/2004,1.692
5/15/2004,1.746
6/15/2004,1.711
7/15/2004,1.739
8/15/2004,1.833
9/15/2004,1.917
10/15/2004,2.134
11/15/2004,2.147
12/15/2004,2.009
1/15/2005,1.959
2/15/2005,2.027
3/15/2005,2.214
4/15/2005,2.292
5/15/2005,2.199
6/15/2005,2.29
7/15/2005,2.373
8/15/2005,2.5
9/15/2005,2.819
10/15/2005,3.095
11/15/2005,2.573
12/15/2005,2.443
1/15/2006,2.467
2/15/2006,2.475
3/15/2006,2.559
4/15/2006,2.728
5/15/2006,2.897
6/15/2006,2.898
7/15/2006,2.934
8/15/2006,3.045
9/15/2006,2.783
10/15/2006,2.519
11/15/2006,2.545
12/15/2006,2.61
1/15/2007,2.485
2/15/2007,2.488
3/15/2007,2.667
4/15/2007,2.834
5/15/2007,2.796
6/15/2007,2.808
7/15/2007,2.868
8/15/2007,2.869
9/15/2007,2.953
10/15/2007,3.075
11/15/2007,3.396
12/15/2007,3.341
1/15/2008,3.308
2/15/2008,3.377
3/15/2008,3.881
4/15/2008,4.084
5/15/2008,4.425
6/15/2008,4.677
7/15/2008,4.703
8/15/2008,4.302
9/15/2008,4.024
10/15/2008,3.576
11/15/2008,2.876
12/15/2008,2.449
1/15/2009,2.292
2/15/2009,2.195
3/15/2009,2.092
4/15/2009,2.22
5/15/2009,2.227
6/15/2009,2.529
7/15/2009,2.54
8/15/2009,2.634
9/15/2009,2.626
10/15/2009,2.672
11/15/2009,2.792
12/15/2009,2.745
1/15/2010,2.845
2/15/2010,2.785
3/15/2010,2.915
4/15/2010,3.059
5/15/2010,3.069
6/15/2010,2.948
7/15/2010,2.911
8/15/2010,2.959
9/15/2010,2.946
10/15/2010,3.052
11/15/2010,3.14
12/15/2010,3.243
1/15/2011,3.388
2/15/2011,3.584
3/15/2011,3.905
4/15/2011,4.064
5/15/2011,4.047
6/15/2011,3.933
7/15/2011,3.905
8/15/2011,3.86
9/15/2011,3.837
10/15/2011,3.798
11/15/2011,3.962
12/15/2011,3.861
1/15/2012,3.833
2/15/2012,3.953
3/15/2012,4.127
4/15/2012,4.115
5/15/2012,3.979
6/15/2012,3.759
7/15/2012,3.721
8/15/2012,3.983
9/15/2012,4.12
10/15/2012,4.094
11/15/2012,4
12/15/2012,3.961
1/15/2013,3.909
2/15/2013,4.111
3/15/2013,4.068
4/15/2013,3.93
5/15/2013,3.87
6/15/2013,3.849
7/15/2013,3.866
8/15/2013,3.905
9/15/2013,3.961
10/15/2013,3.885
11/15/2013,3.839
12/15/2013,3.882
1/15/2014,3.893
2/15/2014,3.984
3/15/2014,4.001
4/15/2014,3.964
5/15/2014,3.943
6/15/2014,3.906
7/15/2014,3.884
8/15/2014,3.838
9/15/2014,3.792
10/15/2014,3.681
11/15/2014,3.647
12/15/2014,3.411
1/15/2015,2.997
2/15/2015,2.858
3/15/2015,2.897
4/15/2015,2.782
5/15/2015,2.888
6/15/2015,2.873
7/15/2015,2.788
8/15/2015,2.595
9/15/2015,2.505
10/15/2015,2.519
11/15/2015,2.467
12/15/2015,2.31
1/15/2016,2.143
2/15/2016,1.998
3/15/2016,2.09
4/15/2016,2.152
5/15/2016,2.315
6/15/2016,2.423
7/15/2016,2.405
8/15/2016,2.351
9/15/2016,2.394
10/15/2016,2.454
11/15/2016,2.439
12/15/2016,2.51
1/15/2017,2.58
2/15/2017,2.568
3/15/2017,2.554
4/15/2017,2.583
5/15/2017,2.56
6/15/2017,2.511
7/15/2017,2.496
8/15/2017,2.595
9/15/2017,2.785
10/15/2017,2.794
11/15/2017,2.909
12/15/2017,2.909
1/15/2018,3.018
2/15/2018,3.046
3/15/2018,2.988
4/15/2018,3.096
5/15/2018,3.244
6/15/2018,3.253
7/15/2018,3.233
8/15/2018,3.218
9/15/2018,3.262
10/15/2018,3.365
11/15/2018,3.3
12/15/2018,3.123
1/15/2019,2.98
2/15/2019,2.997
3/15/2019,3.076
4/15/2019,3.121
5/15/2019,3.161
6/15/2019,3.089
7/15/2019,3.045
8/15/2019,3.005
9/15/2019,3.016
10/15/2019,3.053
11/15/2019,3.069
12/15/2019,3.055
1/15/2020,3.048
2/15/2020,2.91
3/15/2020,2.729
4/15/2020,2.493
5/15/2020,2.392
6/15/2020,2.408
7/15/2020,2.434
8/15/2020,2.429
9/15/2020,2.414
10/15/2020,2.389
11/15/2020,2.432
12/15/2020,2.585
1/15/2021,2.681
2/15/2021,2.847
3/15/2021,3.152
4/15/2021,3.13
5/15/2021,3.217
6/15/2021,3.287
7/15/2021,3.339
8/15/2021,3.35
9/15/2021,3.384
10/15/2021,3.612
11/15/2021,3.727
12/15/2021,3.641
1/15/2022,3.724
2/15/2022,4.032
3/15/2022,5.105
4/15/2022,5.12
5/15/2022,5.571
6/15/2022,5.754
7/15/2022,5.486
8/15/2022,5.013
9/15/2022,4.993
10/15/2022,5.211
11/15/2022,5.255
12/15/2022,4.714
1/15/2023,4.576
2/15/2023,4.413
3/15/2023,4.211
4/15/2023,4.099
5/15/2023,3.915
6/15/2023,3.802
7/15/2023,3.882
8/15/2023,4.37
9/15/2023,4.563
10/15/2023,4.507
11/15/2023,4.254
12/15/2023,3.972
1/15/2024,3.854
2/15/2024,4.044
3/15/2024,4.022
4/15/2024,4.002
5/15/2024,3.822
6/15/2024,3.722
7/15/2024,3.81
8/15/2024,3.7
9/15/2024,3.558
10/15/2024,3.585
